,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
10,2018-01-01 05:00:00,"7,2","11,9136","7,29656","12,5788",,,,"12,6","12,0","12,699","7,682",,,"11,3799","54,0975",,"74,2","9,86533","20,302949","22,3","24,245892","21,06","11,997937","22,648097","25,230419","25,193089","20,865917","16,48","20,71","21,366916","17,3808","25,0","25,0",,"14,4861","7,90984","13,387","11,952","10,9749","15,7",,,"10,03",,"28,9092","27,135","18,3681",,,"40,1738","61,1957"
11,2018-01-01 06:00:00,"7,48895","9,93139","6,7","11,3718",,"14,228",,"12,3","9,0","10,599","11,957",,,"7,85656","77,1282",,"75,0","9,9528","18,956586","20,4","19,56754","18,93","10,674043","23,550806","25,037106","22,096661","18,13867","15,88","19,46","19,456502","15,5463","23,9","26,0",,"15,3282","9,47402","12,8197","12,4917","12,8665","22,0",,,"9,72",,"19,5588","21,8239","17,2421",,,"44,4222","15,6436"
12,2018-01-01 07:00:00,"6,84924","9,33311","6,4","9,8027","9,6017",,,"15,7","9,0","8,499","9,107",,,"6,43055","69,3836",,"69,0","10,0066","19,267285","19,7","22,532548","16,57","9,3041","22,237774","21,170844","20,730589","16,651081","14,34","19,09","16,80315","10,8339","25,2","26,0",,"10,6465","9,5252","17,2981","12,1218","11,794","19,0",,,"8,67",,"22,4398","19,9721","14,5649",,,"11,9149","7,18195"
13,2018-01-01 08:00:00,"10,3","4,05327","6,5","8,8371",,"8,7155",,"12,9","8,0","7,449","6,257",,,"7,80491","58,9347",,"38,1","9,95667","19,577984","15,2","23,476426","12,47","8,590348","19,365516","21,460814","20,093089","17,394876","13,28","19,36","14,574334","16,2934","24,7","25,0",,"12,7828","11,2281","17,447","13,0237","10,6195","11,6",,,"7,26",,"14,1244","22,9794","13,8714",,,"9,89925","7,51916"
14,2018-01-01 09:00:00,"8,5","7,53126","7,19736","9,3199",,,,"12,3","8,0","9,549","6,257",,,"7,18966","53,2543",,"38,6","11,5791","18,542321","15,6","25,015357","13,26","8,843615","19,119323","20,687561","21,732375","18,014705","14,54","20,85","15,741809","15,5192","22,2","22,0",,"10,2544","9,96021","15,5462","15,7798",,"12,8",,,"7,11",,"15,0735","19,671","13,7128",,,"10,8561","10,4109"
15,2018-01-01 10:00:00,"9,4","7,55466","10,3657","8,9578","14,4391","9,328",,"12,1","8,0","10,599","14,807",,,"7,01657","49,8919",,"38,5","12,6512","18,645887","15,8","25,251327","13,12","8,037766","18,791065","22,427379","23,462732","19,502294","16,41","19,75","17,970625","10,6303","19,6","20,0",,"18,4232","8,35212","14,464","16,7098",,"12,2",,,"10,09",,"12,5","21,1675","12,1312",,,"9,22549","9,82853"
16,2018-01-01 11:00:00,"8,2","12,8887","12,3","11,8546","19,0219",,,"11,6","9,0","11,649","30,482",,,"5,63497","42,2373",,"36,32","14,6205","18,335188","15,4","27,826472","19,04","8,624884","18,216613","22,814005","22,005589","18,386602","15,79","18,28","16,909284","10,3083","18,4","20,0",,"18,5216","7,3298","15,713","17,0801",,"11,5",,,"11,24",,"15,9","15,3867","11,1132",,,"7,35615","6,59925"
17,2018-01-01 12:00:00,"10,2288","10,2163","15,2","12,4581",,"8,8905",,"12,0","11,0","16,899","37,607",,,"5,06876","38,0325",,"27,2","15,5687","16,470994","18,0","30,832518","17,86","11,606525","20,35029","19,624339","16,632375","16,527116","11,64","15,77","21,685318","17,3922","15,3","14,0",,"11,5942","6,97568","19,3236","12,7212",,"12,8",,,"11,38",,"18,2","24,7106","10,8678",,,"2,19502","6,43286"
18,2018-01-01 13:00:00,"8,64844","17,0898","13,8","9,8027",,,,"13,8","19,0","22,149","29,057",,,"7,60367","38,8339",,"29,3549","18,4671","15,435331","13,4","32,474044","16,88","10,535897","19,857903","20,397592","15,721661","10,948656","11,88","15,22","19,66877","15,621","13,1","18,0",,"9,45216","6,81691","20,9136","14,622",,"13,1",,,"13,69",,"15,8987","15,4194","11,9202",,,"20,8747","6,08912"
19,2018-01-01 14:00:00,"7,21123","9,70779","12,3623","9,0785",,"7,228",,"14,2","12,0","25,299","34,757",,,"7,71704","39,8359",,"27,2","23,8194","15,331765","17,8","17,79264","24,84","7,84206","19,775839","21,267501","16,359161","12,560211","13,34","15,6","24,33867","18,2014","13,1","13,0",,"16,262","6,62501","17,6644","9,32133",,"16,6",,,"18,38",,"19,7176","21,4588","12,0789",,,"7,94898","6,86598"
20,2018-01-01 15:00:00,"13,6","13,856","11,4931","6,9059",,,,"14,3","12,0","23,199","44,732",,,"5,64956","47,2884",,"35,2","31,9401","17,817357","19,1","17,433556","22,12","7,047723","21,663323","19,624339","17,998446","14,543663","15,34","16,52","29,963777","19,3271","13,9","18,0",,"13,8501","6,63577","20,122","8,09702",,"18,7",,,"25,07",,"22,9359","28,7044","11,6795",,,"7,35207","7,67457"
21,2018-01-01 16:00:00,"9,83356","11,6975","7,08791","9,3199","9,2198",,,"18,5","18,0","46,299","80,357",,,"7,65581","55,7753",,"42,4","34,7299","21,96001","19,3","27,405831","28,39","7,036211","24,207323","25,327075","20,457375","15,535389","17,37","18,36","30,388314","25,3978","14,0","17,0",,"12,5197","7,02356","21,2718","9,29915",,"24,4",,,"31,73",,"30,5","31,1172","10,7074",,,"5,47733","7,42141"
22,2018-01-01 17:00:00,"17,7","11,9593","8,35157","10,5269","13,2934",,,"21,4","19,0","42,099","60,407",,,"9,51251","59,9929",,"42,5","38,3323","22,581408","19,8","34,37206","20,08","10,639506","24,863839","28,903368","24,100232","16,527116","18,01","21,06","28,584034","20,2564","15,6","17,0",,"17,0592","7,89995","20,3968","9,69488",,"32,2",,,"34,22",,"26,907","28,0498","7,61465",,,"7,40275","7,78244"
