,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
578,2018-01-24 21:00:00,"16,4691","23,12","24,4","42,7538","56,7027",,,"38,9","25,0","50,499","47,582",,,,"69,3339","68,5","66,7","33,4092",,"32,7","77,831479","35,48",,"39,96371","49,781181","49,053804","48,262351","36,04","39,91","40,577187","18,2648",,,,"40,8752","16,1149","27,4034","21,6754","37,1267","51,1",,,"38,08","18,2366","24,5585","30,9224","36,2477",,,"7,2343","9,04925"
579,2018-01-24 22:00:00,"11,4573","17,9791","23,748","36,9602","37,0985",,,"34,1","28,0","52,599","50,432",,,,"102,545","87,6","64,6","30,4786",,"33,5","62,729434","32,66",,"37,255581","44,175102","48,052018","45,783036","34,4","39,41","41,532394","24,2445",,,,"34,6156","13,7037","21,126","19,6669","34,5489","45,6",,,"38,64","17,0625","31,6","31,8712","31,3238",,,"7,12424","6,43476"
580,2018-01-24 23:00:00,"14,2","21,5123","22,7235","30,0803","39,5172",,,"34,3","22,0","48,399","37,607",,,,"108,931","69,2","76,6","26,453",,"35,6","67,130777","28,87",,"37,747968","48,42799","48,871661","41,444234","34,19","39,08","35,695019","29,0511",,,,"31,9397","11,4801","21,3113","21,7157","33,2152","47,4",,,"32,43","14,2938","28,208","39,0437","31,8393",,,"7,87931","5,77786"
581,2018-01-25 00:00:00,"11,1","16,2732","19,8","26,2179",,,,"32,4","27,0","34,749","34,757",,,,"112,076","41,7","85,5","24,6219",,"32,4","64,196548","33,72",,"36,517","45,33498","49,235946","40,948371","34,77","38,81","33,466203","32,845",,,,"24,0214","10,5179","22,3579","18,2244","27,3335","48,0",,,"25,37","14,858","23,1527","29,9952","35,6012",,,"5,87689","5,82264"
582,2018-01-25 01:00:00,"6,9","23,7205","22,5","22,959",,"25,603",,"34,7","25,0","34,749","31,907",,,,"115,013","36,1","75,9","22,1063",,"32,2","52,233922","32,72",,"34,711581","41,565375","46,594875","40,452508","35,22","37,33","30,81285","30,6763","29,1",,,"33,7631","10,864","22,1036","16,266",,"48,7",,,"27,05","14,5742","25,2998","22,0716","35,3385",,,"6,57205","4,9527"
583,2018-01-25 02:00:00,"2,7","20,6491","17,7","15,8377",,,,"30,1","22,0","24,249","30,482",,,,"110,798","51,5","77,0","20,0672",,"32,3","46,026899","31,86",,"32,085516","38,182396","44,682375","39,584748","33,52","36,67","28,159498","28,2091","35,5",,,"26,072","11,1019","22,7212","12,6388","24,6295","36,5",,,"26,77","15,5298","24,7307","29,0015","37,0592",,,"8,57027","10,1311"
584,2018-01-25 03:00:00,"1,2","19,8823","13,3","16,4412",,,,"24,1","16,0","17,949","26,207",,,,"101,544","53,3","74,3","18,447",,"26,2","42,764365","30,18",,"29,78771","37,892426","43,862732","38,964919","33,01","37,0","24,975475","25,3434","36,1",,,"20,9654","11,185","24,3254","13,0242","21,3","34,6",,,"20,55","12,6866","24,7","25,7752","35,2205",,,"8,84589","8,59986"
585,2018-01-25 04:00:00,"1,2","16,3258","20,5","17,1654",,,,"18,5","20,0","17,949","23,357",,,,"99,2187","35,3","89,0","17,314",,"31,2","40,455968","27,24",,"26,915452","32,47966","42,769875","37,849227","32,36","35,15","28,159498","27,3096","37,1",,,"23,0596","10,1274","25,8957","12,6787","20,1222","29,4",,,"18,84","10,3571","22,1033","23,2645","31,6295",,,"7,23238","6,87346"
586,2018-01-25 05:00:00,"7,5","15,0872","19,0","13,9065",,,,"16,4","19,0","14,799","17,657",,,,"103,311","43,4","82,9","16,301",,"27,4","37,337067","31,3",,"24,125258","28,710054","40,675232","34,874049","30,72","33,54","31,131253","23,8469","36,7",,,"22,6486","9,95501","26,7568","13,5295","18,843","24,8",,,"18,2","14,1012","21,2355","21,4921","29,0215",,,"6,78929","8,5232"
587,2018-01-25 06:00:00,"11,8959","19,8811","21,6432","12,096",,,,"19,7","20,0","15,849","26,207",,,,"100,235","40,0","85,5","16,7325",,"25,2","34,454136","30,7",,"22,812226","26,390297","39,673446","33,510425","29,84","31,79","30,494448","22,3685","35,2",,,"20,1434","10,8758","27,3629","12,1888","17,42","21,7",,,"19,35","12,9948","26,9154","23,8296","27,4905",,,"9,75886","9,33419"
588,2018-01-25 07:00:00,"9,48805","30,4304","29,1558","13,0616",,,,"17,5","15,0","16,899","27,632",,,,"100,287","55,0","81,0","17,6728",,"24,2","31,714838","27,83",,"21,663323","26,87358","38,307375","32,146802","29,49","30,01","29,963777","21,2059","33,7",,,"25,4797","10,8467","27,1677","13,7273",,"19,7",,,"23,7","10,37","26,8008","24,5558","25,7842",,,"10,0517","7,8695"
589,2018-01-25 08:00:00,"12,6571","35,5969","28,7101","19,8208","23,8593","15,103",,"22,1","17,0","20,049","29,057",,,,"101,79","58,7","101,6","18,8078",,"28,6","34,710624","28,94",,"22,648097","26,680267","36,850232","31,03111","26,57","28,67","30,069912","21,3632","32,9",,,"32,5445","12,2269","26,5349","13,615","25,1586","21,3",,,"27,19","9,76456","30,3824","26,758","26,875",,,"8,22862","10,3934"
590,2018-01-25 09:00:00,"10,7421","38,1668","35,2766","21,6313",,,,"24,0","16,0","33,699","31,907",,,,"97,8169","87,3","102,3","21,374",,"23,4","46,150014","26,13",,"28,802935","29,483307","34,209161","31,403007","25,82","27,99","30,706716","21,904","30,6",,,"35,5913","10,7987","27,1752","15,2111","32,1129","31,7",,,"27,41","13,6865","30,9155","26,7058","27,1292",,,"8,14058","17,0821"
591,2018-01-25 10:00:00,"13,5377","28,7749","34,0266","25,373","29,9697",,,"19,2","18,0","37,899","37,607",,,,"110,929","67,0","132,7","20,8545","25,377699","28,6","53,588182","24,71","28,667495","32,742032","29,579963","33,844875","29,667486","26,6","27,68","31,131253","22,2361","26,4",,,"32,3873","10,7533","26,615","18,3556","37,6226","22,3",,,"26,02","11,655","27,0997","25,1829","25,8039",,,"9,38276","19,2031"
592,2018-01-25 11:00:00,"16,2493","27,8733","22,5971","28,7526","32,1338","21,753",,"24,8","22,0","31,599","56,132",,,,"94,2164","52,3","145,6","22,5879","23,824204","32,9","46,519357","29,24","30,923872","27,654032","32,093034","33,389518","28,67576","26,34","26,61","29,008571","22,7178","23,7",,,"28,9621","10,6735","26,2874","16,1796","43,5591","31,1",,,"28,01","13,625","25,7903","28,1236","26,2795",,,"12,449","9,7424"
593,2018-01-25 12:00:00,"3,1","19,7515","23,7365","27,5456","33,4068","19,3905",,"25,9","21,0","30,549","49,007",,,,"82,2002","31,5","95,0","23,748","22,167143","33,6","46,591174","20,77","31,706696","25,192097","27,066893","33,662732","27,931966","25,11","26,77","25,824548","25,2063","20,9",,,"26,4784","10,5007","24,8058","17,9228","30,2418","28,6",,,"27,77","15,4095","24,4619","28,09","25,7417",,,"9,85552","8,95078"
594,2018-01-25 13:00:00,"3,65147","25,0634","25,4232","26,0972","39,8991","20,703",,"25,1","24,0","37,899","46,157",,,,"68,7968","36,7","49,2","24,1184","21,545745","29,4","35,510869","25,2","33,065127","25,602419","28,420085","32,843089","27,312137","25,28","25,96","27,628827","21,2118","20,0",,,"26,028","11,2852","23,508","16,1356",,"28,5",,,"27,99","16,6358","28,5194","24,3336","25,5883",,,"7,02854","15,9269"
595,2018-01-25 14:00:00,"2,45828","23,9876","32,1252","30,4424","40,281",,,"26,0","20,0","41,049","54,707",,,,"63,0848","36,3","49,7","24,5161","21,338612","30,2","41,358808","21,24","34,504143","31,264871","28,516741","33,116304","26,444377","25,26","25,06","29,220839","19,8425","20,1",,,"32,39","11,5055","21,7184","15,9849","34,1","22,0",,,"25,73","18,6344","34,6404","24,1556","27,3208",,,"7,44867","9,81769"
596,2018-01-25 15:00:00,"7,96375","34,5704","32,9204","34,4255","46,2641","26,2155",,"21,0","24,0","43,149","44,732",,,,"53,7677","27,3","42,3","23,8893","24,963434","26,5","56,409556","25,38","39,304699","34,055065","41,468718","34,209161","26,94024","25,41","27,02","29,751509","23,6345","21,7","25,0",,"33,8538","10,9563","22,0361","18,6707","58,9632","24,6",,,"26,48","13,5411","22,9618","25,8199","28,1379",,,"7,44005","14,7227"
597,2018-01-25 16:00:00,"27,7836","29,811","37,9385","37,8051","49,8285",,,"27,4","25,0","42,099","58,982",,,,"56,397","38,4","78,8","27,4795","26,827628","26,1","64,278624","32,04","38,648508","36,845258","46,881485","35,484161","28,67576","26,95","28,46","33,572337","21,448","30,1","19,0",,"36,8434","12,788","23,2259","24,4197",,"25,3",,,"30,95","17,8471","26,6936","28,6525","33,6277",,,"7,5214","17,2386"
598,2018-01-25 17:00:00,"27,8617","38,5222","42,3266","49,8751","52,5018","33,828",,"35,1","30,0","53,649","57,557",,,,"82,6829","43,0","87,1","30,5284","27,241893","33,9","84,171876","35,09","46,453729","39,307194","52,777534","36,941304","30,039384","27,19","28,82","35,588884","25,6861","33,8","20,0",,"39,725","17,5173","24,5701","20,755",,"31,2",,,"34,66","18,7018","32,988","39,8797","35,7412",,,"10,1991","21,7175"
599,2018-01-25 18:00:00,"35,2","45,3588","49,4414","55,3066","59,376","52,1155",,"41,0","30,0","64,149","56,132",,,,"74,1024","66,4","105,4","32,0308","30,763148","34,5","86,880395","36,69","43,379991","45,133774","54,130726","38,125232","33,262494","28,18","30,23","39,09131","21,0824","32,1","19,0",,"58,3232","25,3333","24,5101","25,4018","101,462","31,7",,,"38,86","28,7776","33,5113","42,505","39,5361",,,"14,1429","19,8357"
600,2018-01-25 19:00:00,"40,2","44,3536","48,4868","63,3935","62,9404","55,003",,"43,8","29,0","77,799","58,982",,,,"60,5341","91,4","123,2","28,775","36,977128","50,4","76,631113","35,79","42,435997","43,738677","54,420696","40,493089","31,774904","27,74","33,91","39,197444","30,8983",,"23,0",,"57,6423","41,5543","24,9458","31,1982","49,1827","45,2",,,"38,51","29,5225","40,1277","41,9267","41,819",,,"19,6456","24,6112"
601,2018-01-25 20:00:00,"37,5991","52,4646","46,4","62,9107",,"57,0155",,"39,2","28,0","76,749","58,982",,,,"79,1538","124,5","138,7","26,961","42,776843","46,3","71,716792","39,09","43,921061","41,112613","55,097291","48,325232","43,923549","28,69","37,53","33,572337","27,6083",,"30,0",,"47,9931","25,4852","21,894","26,7307","55,786","35,5",,,"36,46","29,8748","43,3362","40,9295","44,6867",,,"35,5127","23,4917"
602,2018-01-25 21:00:00,"33,8125","53,7147","43,5","65,8075","76,1796","66,6405",,"42,0","34,0","72,549","60,407",,,,"90,1579","129,3","158,8","25,8911","47,230195","36,7","67,992579","36,66","58,518437","40,538161","52,487565","50,055589","47,890454","33,51","39,34","34,421409","29,9663","45,8",,,"62,5272","24,1098","21,5407","25,7119",,"38,4",,,"35,89","38,0323","39,4843","42,9513","45,0757",,,"21,4831","22,6647"
603,2018-01-25 22:00:00,"37,6","31,2065","35,468","78,9638","79,6167","63,753",,"39,9","32,0","51,549","54,707",,,,"101,72","157,1","166,3","27,0473","50,026486","34,2","72,763266","44,36","55,248993","38,814806","50,844403","51,603804","49,130111","36,05","41,09","38,879041","18,3671",,,,"46,9723","59,4844","18,9806","30,6435","44,3","49,8",,,"33,55","122,74","43,7177","34,3733","45,893",,,"20,0571","17,9043"
604,2018-01-25 23:00:00,"31,5637","24,6595","30,9423","74,1358",,"57,628",,"41,0","27,0","35,799","41,882",,,,"110,42","161,6","173,3","24,6058","52,097813","35,0","62,616579","35,06","65,195469","41,358806","49,297899","56,066304","53,344947","38,28","47,41","47,582037","27,5825","36,6","36,0",,"36,3836","93,1847","16,471","38,9547","65,3831","43,6",,,"28,15","137,812","42,3876","43,1669","48,4079",,,"34,5845","18,5831"
605,2018-01-26 00:00:00,"33,8921","30,6278","30,538","63,5142",,"57,7155",,"36,6","32,0","35,799","50,432",,,,"129,884","172,6","188,0","21,0217","47,437328","40,1","57,312395","39,75","57,413272","40,127839","45,91492","63,625232","56,320126","43,61","50,99","44,716417","18,5639","39,9","43,0",,"47,4011","85,4013","14,0246","48,8995","46,6847","46,5",,,"37,08","28,5902","37,5382","54,1347","47,5611",,,"37,9916","23,3476"
606,2018-01-26 01:00:00,"31,9328","24,4416","32,7","55,3066","63,9588","58,153",,"33,7","42,0","39,999","44,732",,,,"136,04","148,3","191,5","19,8051","43,70894","37,8","51,813281","53,79","51,323358","48,744613","52,874191","62,077018","53,220981","46,67","46,74","46,308428","17,3285","35,3","39,0",,"37,9391","62,9968","14,5158","35,7395","50,2356","40,8",,,"52,2","109,288","47,913","61,7793","47,4447",,,"37,8479","30,7462"
607,2018-01-26 02:00:00,"28,8155","33,8631","42,6","56,9964","59,6306","51,853",,"27,2","36,0","32,649","37,607",,,,"132,019","148,0","179,9","16,7088","42,051879","52,0","50,612915","57,95","43,403016","36,352871","45,33498","55,975232","49,502009","45,3","43,32","47,582037","17,9142","35,4","39,0",,"26,1064","47,3662","16,0539","25,8816","49,9146","46,4",,,"51,03","55,4032","51,7162","50,9751","47,0874",,,"25,3685","24,8744"
608,2018-01-26 03:00:00,"30,609","28,8406","52,1423","54,7031","62,3039","40,3905",,"22,4","33,0","26,349","30,482",,,,"136,573","146,4","163,2","17,679","39,876986","47,9","46,057678","50,7","43,42604","32,249645","39,245618","52,514518","47,022693","42,42","42,46","46,62683","15,0537","36,8","43,0",,"16,3826","14,4407","19,2805","30,3338","38,7694","43,8",,,"29,04","83,5498","40,6323","47,74","48,9973",,,"14,7841","23,2758"
609,2018-01-26 04:00:00,"28,6032","26,2516","32,8291","51,927",,,,"20,0","45,0","32,649","21,932",,,,"133,249","108,4","158,1","16,9884","37,391394","39,9","46,108976","51,07","42,965555","31,429","34,606104","51,421661","44,047515","39,76","40,32","46,732964","15,0247","38,4","41,0",,"16,7014","11,0359","14,3536","30,0169","30,5268","37,9",,,"5,55","88,9396","42,2481","38,4612","48,5173",,,"12,4298","28,5384"
610,2018-01-26 05:00:00,"28,2","25,1954","25,9074","52,1684",,,,"21,6","48,0","35,799","27,632",,,,"133,519","103,2","140,8","16,2898","36,252164","39,3","46,139754","45,95","40,352302","33,726806","32,383003","48,234161","42,807857","37,97","38,21","45,247087","22,2329","40,1","41,0",,"19,5889","13,0818","17,2149","32,7421","44,9992","31,3",,,"5,57","92,2237","62,5158","31,9928","45,0658",,,"11,3197","16,7241"
611,2018-01-26 06:00:00,"23,9901","31,8229","27,1157","53,7375","61,1582",,,"22,1","37,0","31,599","40,457",,,,"138,325","116,8","135,9","16,964","37,287827","41,0","46,488579","42,57","38,740605","34,383323","31,126468","45,502018","42,559926","35,47","37,34","42,699869","15,7058",,"41,0",,"17,1683","20,437","18,613","36,4259","47,0","31,1",,,"5,66","71,7375","53,8841","32,443","41,6498",,,"12,6117","19,8448"
612,2018-01-26 07:00:00,"24,8396","48,6574","38,5864","60,4967",,"32,428",,"18,0","29,0","27,399","29,057",,,,"133,089","118,5","130,4","19,691","39,876986","40,1","44,949647","45,15","42,781361","32,577903","29,96659","48,962732","45,039241","33,85","39,22","40,471053","18,608","43,2","36,0",,"25,5665","33,4648","21,6009","38,6101",,"31,6",,,"7,28","78,8767","73,1116","24,5048","40,3141",,,"11,5877","15,3994"
613,2018-01-26 08:00:00,"27,0548","52,7265","41,0","69,9113","60,9036",,,"15,1","27,0","37,899","30,482",,,,"142,096","122,5","150,4","24,2032","37,805659","38,7","44,703418","42,03","46,603387","34,793645","31,513094","51,785946","44,543378","35,14","39,82","39,409712","20,2152","37,6","38,0",,"21,9328","45,2532","24,0004","39,8874","108,79","34,0",,,"12,52","106,395","98,6319","28,9916","40,4509",,,"11,1092","14,2795"
614,2018-01-26 09:00:00,"29,3441","44,4695","48,0541","70,5148","68,5416","42,1405",,"32,9","49,0","60,999","29,057",,,,"155,089","127,6","152,0","26,9749","36,148598","38,5","42,569434","41,75","54,719435","33,726806","32,576316","53,060946","42,807857","36,04","38,69","40,789455","21,9482","37,3","33,0",,"38,0954","50,8409","27,9833","46,3867","84,2998","41,5",,,"16,92","115,568","104,195","26,0344","41,3489",,,"11,7025","16,1937"
615,2018-01-26 10:00:00,"37,7737","41,9463","48,4628","75,1014","77,8345","43,7155",,"42,0","51,0","52,599","43,307",,,,"146,117","138,1","138,5","28,6926","37,287827","40,2","45,698594","44,58","61,995098","36,845258","28,903368","56,521661","42,807857","36,41","38,27","41,744662","22,9613","34,7","31,0",,"36,6844","57,0298","28,4805","38,6789",,"42,5",,,"27,33","106,435","104,472","26,2854","43,3912",,,"14,7796","17,0638"
616,2018-01-26 11:00:00,"38,7895","46,0235","53,7578","75,5842","79,6167","46,078",,"42,5","46,0","55,749","58,982",,,,"144,385","129,7","143,2","29,8102","37,287827","42,9","48,01725","45,52","61,40798","43,820742","25,617045","57,341304","43,179755","37,88","38,42","42,275332","26,5412","32,0","29,0",,"43,1488","59,2819","26,1739","24,1449","111,383","50,8",,,"32,49","130,861","97,7622","35,0539","40,148",,,"17,3012","19,1312"
617,2018-01-26 12:00:00,"41,5683","42,7809","49,3854","71,9632","79,8713","46,3405",,"31,6","46,0","54,699","57,557",,,,"129,254","142,2","155,8","27,3145","37,184261","41,0","53,229098","40,38","56,538351","34,87571","26,100328","60,619875","44,667344","38,13","38,67","42,381466","30,1841","26,2","20,0",,"29,9034","56,678","24,9777","28,7219","59,8061","38,3",,,"32,04","111,415","112,559","39,9397","39,5774",,,"16,545","19,4125"
618,2018-01-26 13:00:00,"39,0196","43,9845","58,0333","67,7387","86,4909","54,2155",,"34,5","40,0","50,499","70,382",,,,"123,575","151,8","155,4","27,6919",,"42,8","55,87606","40,86",,"35,286032","26,970237","59,618089","45,411138","38,92","40,31","43,973478","25,4942","23,2","18,0",,"25,8603","56,8278","22,9729","37,326","68,3249","28,9",,,"23,85","127,364","68,841","48,3615","42,0669",,,"16,7459","14,6279"
619,2018-01-26 14:00:00,"32,5043","56,0566","57,6536","65,0833","75,7977","48,878",,"39,8","37,0","51,549","74,657",,,,"106,496","122,6","128,9","28,8039",,"41,6","46,355205","48,05",,"37,337645","30,063246","59,527018","44,171481","38,3","40,11","45,353221","29,2815","21,2","25,0",,"32,6403","59,4949","23,4085","29,571","66,178","34,2",,,"24,56","132,638","37,6297","56,6764","46,6899",,,"26,871","24,6871"
620,2018-01-26 15:00:00,"32,9243","45,0813","48,6564","68,2215","80,7624","50,803",,"43,1","27,0","57,849","66,107",,,,"122,813","125,2","109,7","29,6631",,"43,5","44,467449","47,42",,"50,385903","32,769629","60,164518","43,30372","37,49","38,5","47,688171","26,2114","20,3","32,0",,"33,0346","70,403","24,5847","29,5926","94,2535","35,5",,,"27,4","34,091","33,5764","60,4396","48,86",,,"30,23","29,8575"
621,2018-01-26 16:00:00,"36,6177","54,9858","50,1608","74,1358","90,5645","53,5155",,"48,8","57,0","64,149","64,682",,,,"131,255","124,0","113,6","33,1643",,"40,5","55,906838","50,46",,"47,103323","39,438931","56,977018","42,931823","39,18","38,09","51,402864","27,837","24,3","32,0",,"43,8554","74,125","22,0847","29,1964","108,8","37,1",,,"31,88","56,2378","33,5826","68,5404","50,0544",,,"26,1915","22,8994"
622,2018-01-26 17:00:00,"38,8252","60,7808","58,486","86,4472","108,8957","48,703",,"60,2","63,0","86,199","80,357",,,,"133,235","149,6","135,0","37,2824",,"39,7","65,212243","52,01",,"73,528097","44,851698","57,341304","44,543378","38,26","38,31","66,473906","38,465","25,6","39,0",,"60,3099","54,2821","22,8323","30,1015","124,786","39,8",,,"39,23","117,057","44,7906","56,2565","60,4833",,,"20,6792","58,4258"
623,2018-01-26 18:00:00,"44,96","78,6371","57,5256","98,1551",,"59,2905",,"65,3","71,0","97,749","123,107",,,,"129,623","156,7","160,9","36,4762",,"43,8","64,401739","72,14",,"46,857129","49,394555","60,437732","46,154933","42,22","42,16","67,959783","40,4731","29,6","42,0",,"75,8693","75,4317","29,0142","32,139","143,749","53,2",,,"44,84","196,383","46,4695","61,2247","60,74",,,"30,9861","53,5893"
624,2018-01-26 19:00:00,"49,914","91,9624","73,2008","89,2233",,"58,678",,"77,3","69,0","102,999","153,032",,,,"106,562","171,5","165,3","37,4858",,"44,2","87,998686","74,2",,"53,586419","58,190301","64,262732","49,378043","47,34","45,94","68,065917","32,702","36,8","46,0",,"72,921","75,3868","25,3365","30,209","71,9066","74,7",,,"50,36","185,824","55,6688","52,2618","57,8741",,,"55,8585","34,8095"
625,2018-01-26 20:00:00,"51,0476","98,4851","73,8","103,5866","126,9723","67,3405",,"94,0","73,0","99,849","120,257",,,,"122,748","206,7","189,6","42,6204",,"74,5","100,833373","75,81",,"68,68629","63,699724","67,450232","53,84081","49,33","49,72","62,016274","38,949",,"50,0",,"74,0147","73,1628","26,3586","30,6091","67,7602","72,7",,,"52,56","169,569","58,6493","59,3728","60,4236",,,"92,7126","42,2391"
626,2018-01-26 21:00:00,"55,7067","59,0171","68,6497","161,0398","173,6914","80,203",,"106,5","91,0","106,149","103,157",,,,"143,895","213,4","216,2","47,5168",,"55,8","108,579327","85,48",,"73,528097","65,149572","74,644875","59,41927","54,29","57,37","66,898442","41,7736",,"43,0",,"79,9792","93,9476","29,7482","31,5573",,"67,2",,,"60,1","105,882","50,1865","61,1667","64,818",,,"40,3168","38,0591"
627,2018-01-26 22:00:00,"83,6207","67,2299","64,9017","191,5769",,"83,178",,"61,9","78,0","115,599","104,582",,,,"147,204","245,5","223,0","40,3167",,"46,8","113,103785","85,77",,"67,373258","70,755652","80,291304","64,129969","57,34","64,22","66,58004","45,0708",,"45,0",,"90,8106","79,2466","31,4657","30,7731","82,0435","63,4",,,"55,23","134,434","57,0301","55,9679","63,4984",,,"31,8474","37,1253"
628,2018-01-26 23:00:00,"96,3676","55,4843","58,9872","172,2649",,"79,7655",,"55,1","77,0","101,949","106,007",,,,"171,215","245,8","229,2","37,8251",,"53,4","125,517831","83,92",,"63,762419","74,4286","84,935946","68,716702","59,61","66,18","70,507001","46,4642",,"43,0",,"64,3201","64,0841","32,9617","32,8073","78,0146","73,9",,,"58,85","163,445","51,1493","54,2297","63,749",,,"18,8226","29,7036"
629,2018-01-27 00:00:00,"81,7407","47,8974","47,1","127,6059","169,1086","85,5405",,"53,6","78,0","80,949","97,457",,,,"177,426","236,4","245,8","44,1318",,"65,3","108,856334","84,66",,"64,583065","83,610972","87,668089","71,196017","61,56","69,46","75,91984","47,2357",,"43,0",,"58,5398","62,7828","31,802","44,0023","71,5884","81,1",,,"60,44","194,995","45,5548","50,527","64,4955",,,"13,9898","28,2856"
630,2018-01-27 01:00:00,"85,3269","49,7366","46,9","112,0356",,"87,378",,"52,7","74,0","84,099","93,182",,,,"192,832","234,2","252,8","47,6102",,"70,1","109,84125","78,72",,"63,680355","85,737416","87,030589","74,171195","62,44","70,18","74,009427","52,4951",,"46,0",,"63,7561","68,8863","29,5601","28,7178","65,4077","101,7",,,"58,29","177,435","41,5038","47,5129","66,0535",,,"23,9713","22,023"
631,2018-01-27 02:00:00,"109,029","47,7276","46,1","89,344",,"85,5405",,"52,7","81,0","81,999","94,607",,,,"179,071","214,0","231,7","53,3642",,"75,9","107,112212","79,9",,"66,880871","71,045621","84,662732","76,774476","60,14","68,67","73,478756","47,8535",,"48,0",,"65,1078","67,5933","29,8384","30,9804","67,7227","140,2",,,"68,73","123,405","50,0246","58,1546","72,4323",,,"26,9667","22,8041"
632,2018-01-27 03:00:00,"58,4132","41,951","51,2198","77,5154","77,5799","91,4905",,"53,3","71,0","77,799","90,332",,,,"172,012","196,2","222,9","55,8832",,"74,8","97,068121","85,03",,"66,634677","63,989693","83,205589","75,162922","61,12","67,12","66,58004","46,5733","51,5","41,0",,"53,1624","69,9955","30,5086","19,6061","49,2476","135,4",,,"64,59","119,065","60,8645","64,3341","77,5545",,,"23,866","22,7223"
633,2018-01-27 04:00:00,"54,0335","39,1449","44,4738","53,3754","63,3223","85,0155",,"52,9","67,0","65,199","81,782",,,,"175,708","176,4","203,9","49,872",,"68,1","89,558136","73,96",,"59,330935","59,640149","81,566304","68,716702","58,54","64,49","65,624833","51,6848","53,1","49,0",,"48,0479","64,8805","32,0595","14,0447",,"131,9",,,"51,87","109,327","66,8738","52,5299","72,1882",,,"30,9574","26,879"
634,2018-01-27 05:00:00,"50,9152","37,3095","43,5","31,8908",,"55,7",,"53,5","66,0","64,149","81,782",,,,"168,774","207,5","187,3","53,9743",,"60,6","85,833922","68,34",,"56,869","58,48027","80,018089","68,220839","56,29","62,81","65,094163","42,8492","54,2","48,0",,"46,1477","65,315","30,7894","13,563","39,1792","125,0",,,"75,03","105,969","51,9353","56,2613","70,9967",,,"25,8661","24,4918"
635,2018-01-27 06:00:00,"43,5639","45,124","45,2","28,5112",,"36,7155",,"49,6","63,0","63,099","83,207",,,,"156,552","128,3","154,2","58,3865",,"64,7","84,99264","67,79",,"56,540742","59,930119","77,923446","68,592736","55,64","60,73","64,351224","46,0131",,"57,0",,"54,0466","62,1551","31,2321","15,9192",,"133,7",,,"112,43","86,8833","55,5011","50,3653","60,4303",,,"25,0335","14,6895"
636,2018-01-27 07:00:00,"50,48","45,6189","45,8","29,7182",,"42,6655",,"51,8","61,0","62,049","73,232",,,,"125,833","118,3","140,1","57,3402",,"67,2","89,137495","64,32",,"53,176097","59,350179","77,468089","69,212565","54,84","59,99","63,289883","44,8558",,"64,0",,"49,3449","64,3198","35,9978","14,1588","15,927","119,3",,,"92,97","94,7627","55,4852","50,0976","58,8907",,,"15,186","19,7049"
637,2018-01-27 08:00:00,"90,0375","45,3571","39,9945","34,4255","34,7","28,1405",,"51,9","54,0","58,899","71,807",,,,"114,241","132,2","128,4","58,2886",,"73,6","96,483327","70,01",,"50,385903","64,472976","80,655589","71,69188","56,49","62,28","71,356074","47,4907",,"68,0",,"52,7855","64,4443","38,8445","9,13977","20,826","122,0",,,"118,75","93,9324","59,3809","51,31","48,5573",,,"22,8516","26,9632"
638,2018-01-27 09:00:00,"58,1902","44,6022","38,3441","40,7019","40,0264","27,9655",,"53,8","52,0","63,099","80,357",,,,"113,322","122,7","117,5","64,4862",,"75,1","116,366319","70,18",,"54,981516","70,465682","87,394875","77,022408","61,27","71,12","69,870197","42,7532",,"76,0",,"71,4079","68,491","36,2284","12,9798","50,3347","115,0",,,"150,08","102,875","63,3574","48,6111","44,1073",,,"31,0818","21,8762"
639,2018-01-27 10:00:00,"57,3257","38,2355","38,1748","45,7713","50,8469","30,153",,"60,9","48,0","59,949","98,882",,,,"106,245","106,1","110,3","60,1886",,"76,2","128,646991","81,14",,"55,720097","74,815227","96,957375","78,262066","64,58","78,91","64,24509","42,9459",,"78,0",,"73,0793","71,7325","33,3045","15,1576","29,698","163,1",,,"143,11","88,5864","70,1578","50,4106","50,7962",,,"28,4979","32,4083"
640,2018-01-27 11:00:00,"77,1428","41,497","37,0633","60,6174","55,7","44,5905",,"66,5","47,0","62,049","100,307",,,,"91,9525","66,6","109,7","51,5025",,"85,5","112,30354","84,5",,"55,063581","80,03468","96,046661","74,91499","58,19","79,48","57,452508","51,0931","68,2","86,0",,"60,9306","61,4902","31,7489","5,37991","32,1018","131,7",,,"139,79","61,688","91,0066","51,9133","49,822",,,"31,5794","32,5706"
641,2018-01-27 12:00:00,"72,5156","23,234","32,0176","57,8413","62,9404","37,5905",,"70,8","48,0","60,999","98,882",,,,"90,7269","61,4","104,8","59,083","63,800809","83,7","87,926869","95,95","51,254285","57,279323","81,774498","90,946661","75,038956","59,58","79,43","54,056217","59,9751","48,2","87,0",,"70,7946","82,8027","32,6422","6,00339","53,2069","173,7",,,"127,78","78,2215","100,165","49,3323","36,531",,,"34,2877","40,0011"
