,year,month,station,city,PM2.5
88,2014,5,MzPlocMiReja,Płock,26.647770034843205
89,2014,5,MzRadTochter,Radom,28.471666666666668
90,2014,5,MzSiedKonars,Siedlce,24.88922261484099
91,2014,5,MzWarAlNiepo,Warszawa,28.10347836111111
92,2014,5,MzWarWokalna,Warszawa,22.275633802816902
93,2014,5,MzZyraRoosev,Żyrardów,29.26112781954887
94,2014,5,OpKKozBSmial,Kędzierzyn-Koźle,32.93927125506073
95,2014,5,PkPrzemGrunw,Przemyśl,32.499110344827585
96,2014,5,SlKatoKossut,Katowice,30.82442748091603
97,2014,5,SlZlotPotLes,Złoty Potok,16.748917748917748
98,2014,5,WmOlsPuszkin,Olsztyn,28.552597739583334
99,2014,5,WpKaliSawick,Kalisz,29.935714285714287
100,2014,6,DsWrocAlWisn,Wrocław,38.261410788381745
101,2014,6,KpBydPlPozna,Bydgoszcz,30.71488146520147
102,2014,6,LdLodzCzerni,Łódź,34.70246171527778
103,2014,6,LdZgieMielcz,Zgierz,31.822100313380282
104,2014,6,LuZielKrotka,Zielona Góra,34.178632
105,2014,6,MpKrakAlKras,Kraków,49.271777003484324
106,2014,6,MpKrakBulwar,Kraków,36.3205574912892
107,2014,6,MzLegZegrzyn,Legionowo,32.200335988847584
108,2014,6,MzPlocMiReja,Płock,30.871458333333333
109,2014,6,MzRadTochter,Radom,31.595609756097563
110,2014,6,MzSiedKonars,Siedlce,30.56291666666667
111,2014,6,MzWarAlNiepo,Warszawa,32.216843965277775
112,2014,6,MzWarWokalna,Warszawa,25.675944055944054
113,2014,6,MzZyraRoosev,Żyrardów,31.1326164874552
114,2014,6,OpKKozBSmial,Kędzierzyn-Koźle,37.53136531365314
115,2014,6,PkPrzemGrunw,Przemyśl,29.496669559999997
116,2014,6,SlKatoKossut,Katowice,37.3574144486692
117,2014,6,SlZlotPotLes,Złoty Potok,20.9
118,2014,6,WmOlsPuszkin,Olsztyn,27.941993416666666
119,2014,6,WpKaliSawick,Kalisz,47.697446808510634
120,2014,7,DsWrocAlWisn,Wrocław,32.770833333333336
121,2014,7,KpBydPlPozna,Bydgoszcz,30.35360885258964
122,2014,7,LdLodzCzerni,Łódź,36.185678948616605
123,2014,7,LdZgieMielcz,Zgierz,27.673256979166666
124,2014,7,LuZielKrotka,Zielona Góra,28.394327149321267
125,2014,7,MpKrakAlKras,Kraków,56.68181818181818
126,2014,7,MpKrakBulwar,Kraków,39.87412587412587
127,2014,7,MzLegZegrzyn,Legionowo,41.70918840350877
128,2014,7,MzPlocMiReja,Płock,31.987846715328466
129,2014,7,MzRadTochter,Radom,34.85467857142857
130,2014,7,MzSiedKonars,Siedlce,31.52385416666667
131,2014,7,MzWarAlNiepo,Warszawa,39.42963889547038
132,2014,7,MzWarWokalna,Warszawa,31.085508771929828
133,2014,7,MzZyraRoosev,Żyrardów,34.634479166666665
134,2014,7,OpKKozBSmial,Kędzierzyn-Koźle,32.661921708185055
135,2014,7,PkPrzemGrunw,Przemyśl,27.323187769784173
136,2014,7,SlKatoKossut,Katowice,41.447272727272725
137,2014,7,SlZlotPotLes,Złoty Potok,24.134615384615383
138,2014,7,WmOlsPuszkin,Olsztyn,27.38303315972222
139,2014,7,WpKaliSawick,Kalisz,39.326436781609196
140,2014,8,DsWrocAlWisn,Wrocław,28.011904761904763
141,2014,8,KpBydPlPozna,Bydgoszcz,32.56749853418803
142,2014,8,LdLodzCzerni,Łódź,30.682826050583657
143,2014,8,LdZgieMielcz,Zgierz,24.097048322695034
144,2014,8,LuZielKrotka,Zielona Góra,23.084638034188036
145,2014,8,MpKrakAlKras,Kraków,44.76655052264808
146,2014,8,MpKrakBulwar,Kraków,30.447916666666668
147,2014,8,MzLegZegrzyn,Legionowo,31.680907362676056
148,2014,8,MzPlocMiReja,Płock,26.902992424242427
149,2014,8,MzRadTochter,Radom,28.32347222222222
150,2014,8,MzSiedKonars,Siedlce,27.715486111111108
151,2014,8,MzWarAlNiepo,Warszawa,33.12925612237762
152,2014,8,MzWarWokalna,Warszawa,24.772534722222222
153,2014,8,MzZyraRoosev,Żyrardów,29.21517605633803
154,2014,8,OpKKozBSmial,Kędzierzyn-Koźle,30.63953488372093
155,2014,8,PkPrzemGrunw,Przemyśl,24.454588541666666
156,2014,8,SlKatoKossut,Katowice,33.03135888501742
157,2014,8,SlZlotPotLes,Złoty Potok,18.290748898678412
158,2014,8,WmOlsPuszkin,Olsztyn,24.506399864583333
159,2014,8,WpKaliSawick,Kalisz,36.631734317343174
160,2014,9,DsWrocAlWisn,Wrocław,31.228915662650603
161,2014,9,KpBydPlPozna,Bydgoszcz,23.49095110852713
162,2014,9,LdLodzCzerni,Łódź,31.672969336805554
163,2014,9,LdZgieMielcz,Zgierz,29.421989473880597
164,2014,9,LuZielKrotka,Zielona Góra,26.503075
165,2014,9,MpKrakAlKras,Kraków,40.78819444444444
166,2014,9,MpKrakBulwar,Kraków,30.101045296167246
167,2014,9,MzLegZegrzyn,Legionowo,44.946332601476016
168,2014,9,MzPlocMiReja,Płock,30.350757575757576
169,2014,9,MzRadTochter,Radom,36.78135416666667
170,2014,9,MzSiedKonars,Siedlce,34.56625
171,2014,9,MzWarAlNiepo,Warszawa,34.079880923611114
172,2014,9,MzWarWokalna,Warszawa,28.42306620209059
173,2014,9,MzZyraRoosev,Żyrardów,33.765719557195574
174,2014,9,OpKKozBSmial,Kędzierzyn-Koźle,34.40151515151515
175,2014,9,PkPrzemGrunw,Przemyśl,24.102825912408758
176,2014,9,SlKatoKossut,Katowice,31.748251748251747
177,2014,9,SlZlotPotLes,Złoty Potok,17.275
